         383171 function calls (376601 primitive calls) in 0.362 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(<listcomp>)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.004    0.004 utils.py:4(<module>)
      336    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      168    0.000    0.000    0.002    0.000 docstring.py:90(dedent)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       19    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
        1    0.000    0.000    0.000    0.000 __init__.py:933(<dictcomp>)
       39    0.000    0.000    0.001    0.000 __init__.py:1563(_add_data_doc)
      385    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
      354    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        8    0.000    0.000    0.000    0.000 __init__.py:1896(_define_aliases)
       53    0.000    0.000    0.000    0.000 core.py:892(__init__)
      373    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       19    0.000    0.000    0.000    0.000 path.py:96(__init__)
      7/2    0.000    0.000    0.075    0.037 pyplot.py:177(switch_backend)
      210    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
      356    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      875    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      309    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      122    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 __init__.py:1120(<listcomp>)
       81    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      321    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
        2    0.000    0.000    0.015    0.007 __init__.py:7(<module>)
       54    0.000    0.000    0.000    0.000 pyparsing.py:3056(__str__)
        1    0.000    0.000    0.002    0.002 socket.py:47(<module>)
      103    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
    79/77    0.000    0.000    0.075    0.001 __init__.py:870(__getitem__)
       50    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
        1    0.000    0.000    0.008    0.008 cm.py:19(<module>)
       13    0.000    0.000    0.004    0.000 enum.py:633(_convert)
        1    0.000    0.000    0.007    0.007 pyparsing.py:5932(pyparsing_common)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2602(__init__)
      310    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
      161    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       44    0.000    0.000    0.000    0.000 environment.py:14(update)
        1    0.000    0.000    0.001    0.001 numerictypes.py:81(<module>)
      308    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.result_type}
        1    0.000    0.000    0.006    0.006 multiarray.py:7(<module>)
       10    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      540    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       27    0.000    0.000    0.001    0.000 core.py:172(iter_style_files)
       27    0.000    0.000    0.021    0.001 __init__.py:1056(rc_params_from_file)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
      343    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      474    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       60    0.000    0.000    0.000    0.000 rcsetup.py:72(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       98    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      126    0.000    0.000    0.000    0.000 colors.py:639(__init__)
      307    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      144    0.000    0.000    0.000    0.000 inspect.py:714(getmodule)
        1    0.000    0.000    0.002    0.002 inspect.py:27(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:1221(getLogger)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
      401    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      121    0.000    0.000    0.000    0.000 pyparsing.py:1497(preParse)
       37    0.000    0.000    0.000    0.000 pyparsing.py:3038(parseImpl)
        1    0.000    0.000    0.001    0.001 _add_newdocs.py:10(<module>)
      119    0.000    0.000    0.001    0.000 re.py:185(sub)
       28    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      576    0.000    0.000    0.000    0.000 inspect.py:2839(return_annotation)
       18    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        1    0.000    0.000    0.002    0.002 rrule.py:7(<module>)
        1    0.000    0.000    0.001    0.001 _internal.py:6(<module>)
